id,longitude,latitude,basin,district_code,population,public_meeting
69572szp,34.93809275,-9.85632177,Lake Nyasa,5,109.0,True
8776u,34.6987661,-2.14746569,Lake Victoria,2,280.0,
34310wz,37.46066446,-3.82132853,Pangani,4,250.0,True
67743,38.48616088,-11.15529772,Ruvuma / Southern Coast,63,58.0,True
19728,31.13084671,-1.82535885,Lake Victoria,1,0.0,True
9944m,39.1727956,-4.76558728,Pangani,8,1.0,True
19816zr,33.36240982,-3.76636472,Internal,3,0.0,True
54551,32.62061707,-4.22619802,Lake Tanganyika,3,0.0,True
53934qc,32.71110001,-5.14671181,Lake Tanganyika,6,0.0,True
46144i,30.62699053,-1.25705061,Lake Victoria,1,,True
49056jdj,39.20951812,-7.03413939,Wami / Ruvu,43,345.0,True
50409,35.77025785,-10.57417468,Lake Nyasa,5,250.0,True
36957,33.79810612,-3.2901937999999995,Internal,2,0.0,True
50495,37.09257412,-3.1817833,Pangani,7,1.0,True
53752tc,34.36407268,-3.62933335,Internal,6,0.0,True
61848umq,31.44412134,-8.27496163,Lake Tanganyika,2,200.0,True
48451u,34.64243884,-9.10618458,Rufiji,4,35.0,True
58155ri,34.56926611,-9.08551497,Rufiji,4,50.0,True
18274i,34.50896732,-9.8944125,Lake Nyasa,5,1.0,True
48375w,34.47342985,-9.59498965,Lake Nyasa,4,4.0,True
6091ye,0.0,-2e-08,Lake Victoria,1,0.0,
37862jt,37.94002949,-4.12559468,Pangani,3,210.0,True
51058gj,29.74706567,-4.49556758,Lake Tanganyika,3,156.0,False
55012ie,39.37077651,-9.94253166,Ruvuma / Southern Coast,23,,False
20145qft,31.10425712,-1.73536124,Lake Victoria,1,0.0,True
19685cl,37.61112572,-3.2635263,Pangani,1,1.0,True
69124xxg,37.06168837,-3.19198926,Pangani,7,1.0,True
46804ibr,36.1083125,-5.79099991,Wami / Ruvu,4,0.0,True
6696g,38.36355454,-6.63610419,Wami / Ruvu,1,150.0,False
12402e,34.47835586,-9.71590954,Lake Nyasa,5,70.0,True
41583al,39.81291224,-7.889986299999999,Rufiji,63,100.0,True
57355mi,36.61869946,-3.29300336,Pangani,2,200.0,True
67359r,33.85434473,-9.63851993,Lake Nyasa,3,0.0,True
60048r,35.85837259,-4.6479063,Internal,1,0.0,True
16583g,35.89026429,-8.22439872,Rufiji,7,100.0,True
25vtx,30.6133054,-3.89456056,Lake Tanganyika,1,230.0,True
70238cwr,37.42002692,-3.47684942,Pangani,4,50.0,True
12796zw,33.92790176,-9.20464923,Lake Nyasa,3,0.0,True
52019qei,34.81457364,-9.03250291,Rufiji,4,250.0,True
19282htm,34.96778863,-4.62892053,Internal,2,1.0,True
